 quote_raw expiration strike option_type delta bid ask mid imp_vol vega deltaless0.5 deltaless0.7
4534 "2016-08-04 15:45:00" "2016-10-21 08:30:00" 2075.0 c 0.7 108.5 110.1 109.3 0.1623 3.437575 0.19999999999999996 0.0
4750 "2016-08-05 15:45:00" "2016-10-21 08:30:00" 2095.0 c 0.701 104.0 105.7 104.85 0.1546 3.43739 0.20099999999999996 0.0010000000000000009
4986 "2016-08-08 15:45:00" "2016-10-21 08:30:00" 2095.0 c 0.7004 101.0 102.7 101.85 0.1534 3.369848 0.20040000000000002 0.00040000000000006697
5223 "2016-08-09 15:45:00" "2016-10-21 08:30:00" 2100.0 c 0.6961 98.4 99.9 99.15 0.1519 3.372198 0.19610000000000005 0.0038999999999999035
5457 "2016-08-10 15:45:00" "2016-10-21 08:30:00" 2090.0 c 0.7003 101.6 103.2 102.4 0.1568 3.317759 0.20030000000000003 0.000300000000000078
5696 "2016-08-11 15:45:00" "2016-10-21 08:30:00" 2105.0 c 0.7012 99.9 101.6 100.75 0.1538 3.311652 0.20120000000000005 0.0012000000000000899
5932 "2016-08-12 15:45:00" "2016-10-21 08:30:00" 2105.0 c 0.698 96.8 98.5 97.65 0.1515 3.30012 0.19799999999999995 0.0020000000000000018
6170 "2016-08-15 15:45:00" "2016-10-21 08:30:00" 2115.0 c 0.6963 93.6 95.5 94.55 0.1499 3.248455 0.19630000000000003 0.0036999999999999256
6403 "2016-08-16 15:45:00" "2016-10-21 08:30:00" 2100.0 c 0.7043 99.2 100.9 100.05000000000001 0.1573 3.171054 0.20430000000000004 0.0043000000000000815
6640 "2016-08-17 15:45:00" "2016-10-21 08:30:00" 2105.0 c 0.6985 95.4 96.4 95.9 0.1542 3.17651 0.1985 0.0014999999999999458
6877 "2016-08-18 15:45:00" "2016-10-21 08:30:00" 2110.0 c 0.7022 92.3 93.8 93.05 0.1486 3.139719 0.20220000000000005 0.0022000000000000908
7113 "2016-08-19 15:45:00" "2016-10-21 08:30:00" 2110.0 c 0.7011 90.6 91.8 91.19999999999999 0.1473 3.118337 0.20109999999999995 0.0010999999999999899
7349 "2016-08-22 15:45:00" "2016-10-21 08:30:00" 2110.0 c 0.7014 89.1 90.3 89.69999999999999 0.1483 3.040481 0.20140000000000002 0.0014000000000000679
7587 "2016-08-23 15:45:00" "2016-10-21 08:30:00" 2120.0 c 0.6963 84.7 85.6 85.15 0.1433 3.046765 0.19630000000000003 0.0036999999999999256
7819 "2016-08-24 15:45:00" "2016-10-21 08:30:00" 2100.0 c 0.6968 91.2 92.1 91.65 0.1571 2.997177 0.19679999999999997 0.0031999999999999806
8055 "2016-08-25 15:45:00" "2016-10-21 08:30:00" 2100.0 c 0.6982 90.4 91.4 90.9 0.1565 2.964685 0.19820000000000004 0.0017999999999999128
8290 "2016-08-26 15:45:00" "2016-10-21 08:30:00" 2095.0 c 0.7027 92.0 94.0 93.0 0.1598 2.915015 0.2027 0.0027000000000000357
8530 "2016-08-29 15:45:00" "2016-10-21 08:30:00" 2115.0 c 0.696 82.3 83.2 82.75 0.1475 2.880524 0.19599999999999995 0.0040000000000000036
8765 "2016-08-30 15:45:00" "2016-10-21 08:30:00" 2110.0 c 0.6983 82.5 83.4 82.95 0.1486 2.837477 0.19830000000000003 0.0016999999999999238
9000 "2016-08-31 15:45:00" "2016-10-21 08:30:00" 2105.0 c 0.6978 83.1 84.1 83.6 0.1518 2.806309 0.19779999999999998 0.0021999999999999797
9235 "2016-09-01 15:45:00" "2016-10-21 08:30:00" 2100.0 c 0.703 84.9 86.0 85.45 0.1548 2.753311 0.20299999999999996 0.0030000000000000027
9475 "2016-09-02 15:45:00" "2016-10-21 08:30:00" 2120.0 c 0.6948 75.0 76.1 75.55 0.14 2.774237 0.19479999999999997 0.005199999999999982
9712 "2016-09-06 15:45:00" "2016-10-21 08:30:00" 2125.0 c 0.6993 72.8 73.9 73.35 0.1397 2.645963 0.19930000000000003 0.0006999999999999229
9949 "2016-09-07 15:45:00" "2016-10-21 08:30:00" 2130.0 c 0.6975 68.9 70.1 69.5 0.1342 2.626205 0.1975 0.0024999999999999467
10184 "2016-09-08 15:45:00" "2016-10-21 08:30:00" 2125.0 c 0.7021 71.3 72.5 71.9 0.1389 2.574968 0.20209999999999995 0.0020999999999999908
10408 "2016-09-09 15:45:00" "2016-10-21 08:30:00" 2065.0 c 0.7018 88.1 89.5 88.8 0.1794 2.489563 0.20179999999999998 0.0018000000000000238
10651 "2016-09-12 15:45:00" "2016-10-21 08:30:00" 2100.0 c 0.7013 78.8 80.5 79.65 0.1642 2.432692 0.20130000000000003 0.0013000000000000789
10878 "2016-09-13 15:45:00" "2016-10-21 08:30:00" 2055.0 c 0.7034 91.6 92.8 92.19999999999999 0.196 2.35375 0.20340000000000003 0.0034000000000000696
