entry_date,quote_date,expiration,strike,entry_price,bid_price,target1,target2,target1_hit,target2_hit,remaining_contracts,realized_pnl,unrealized_value,equity
2024-07-01,2024-07-01 15:45:00,2024-08-21 08:30:00,60.0,0.1,0.09,1.0,4.0,False,False,3.0,0.0,27.0,27.0
2024-07-01,2024-07-02 15:45:00,2024-08-21 08:30:00,60.0,0.1,0.07,1.0,4.0,False,False,3.0,0.0,21.000000000000004,21.000000000000004
2024-07-01,2024-07-03 15:45:00,2024-08-21 08:30:00,60.0,0.1,0.07,1.0,4.0,False,False,3.0,0.0,21.000000000000004,21.000000000000004
2024-07-01,2024-07-05 15:45:00,2024-08-21 08:30:00,60.0,0.1,0.07,1.0,4.0,False,False,3.0,0.0,21.000000000000004,21.000000000000004
2024-07-01,2024-07-08 15:45:00,2024-08-21 08:30:00,60.0,0.1,0.06,1.0,4.0,False,False,3.0,0.0,18.0,18.0
2024-07-01,2024-07-09 15:45:00,2024-08-21 08:30:00,60.0,0.1,0.06,1.0,4.0,False,False,3.0,0.0,18.0,18.0
2024-07-01,2024-07-10 15:45:00,2024-08-21 08:30:00,60.0,0.1,0.08,1.0,4.0,False,False,3.0,0.0,24.0,24.0
2024-07-01,2024-07-11 15:45:00,2024-08-21 08:30:00,60.0,0.1,0.07,1.0,4.0,False,False,3.0,0.0,21.000000000000004,21.000000000000004
2024-07-01,2024-07-12 15:45:00,2024-08-21 08:30:00,60.0,0.1,0.06,1.0,4.0,False,False,3.0,0.0,18.0,18.0
2024-07-01,2024-07-15 15:45:00,2024-08-21 08:30:00,60.0,0.1,0.07,1.0,4.0,False,False,3.0,0.0,21.000000000000004,21.000000000000004
2024-07-01,2024-07-16 15:45:00,2024-08-21 08:30:00,60.0,0.1,0.06,1.0,4.0,False,False,3.0,0.0,18.0,18.0
2024-07-01,2024-07-17 15:45:00,2024-08-21 08:30:00,60.0,0.1,0.08,1.0,4.0,False,False,3.0,0.0,24.0,24.0
2024-07-01,2024-07-18 15:45:00,2024-08-21 08:30:00,60.0,0.1,0.09,1.0,4.0,False,False,3.0,0.0,27.0,27.0
2024-07-01,2024-07-19 15:45:00,2024-08-21 08:30:00,60.0,0.1,0.1,1.0,4.0,False,False,3.0,0.0,30.000000000000004,30.000000000000004
2024-07-01,2024-07-22 15:45:00,2024-08-21 08:30:00,60.0,0.1,0.08,1.0,4.0,False,False,3.0,0.0,24.0,24.0
2024-07-01,2024-07-23 15:45:00,2024-08-21 08:30:00,60.0,0.1,0.07,1.0,4.0,False,False,3.0,0.0,21.000000000000004,21.000000000000004
2024-07-01,2024-07-24 15:45:00,2024-08-21 08:30:00,60.0,0.1,0.12,1.0,4.0,False,False,3.0,0.0,36.0,36.0
2024-07-01,2024-07-25 15:45:00,2024-08-21 08:30:00,60.0,0.1,0.11,1.0,4.0,False,False,3.0,0.0,33.0,33.0
2024-07-01,2024-07-26 15:45:00,2024-08-21 08:30:00,60.0,0.1,0.08,1.0,4.0,False,False,3.0,0.0,24.0,24.0
2024-07-01,2024-07-29 15:45:00,2024-08-21 08:30:00,60.0,0.1,0.06,1.0,4.0,False,False,3.0,0.0,18.0,18.0
2024-07-01,2024-07-30 15:45:00,2024-08-21 08:30:00,60.0,0.1,0.07,1.0,4.0,False,False,3.0,0.0,21.000000000000004,21.000000000000004
2024-07-01,2024-07-31 15:45:00,2024-08-21 08:30:00,60.0,0.1,0.05,1.0,4.0,False,False,3.0,0.0,15.000000000000002,15.000000000000002
2024-07-01,2024-08-01 15:45:00,2024-08-21 08:30:00,60.0,0.1,0.13,1.0,4.0,False,False,3.0,0.0,39.0,39.0
2024-07-01,2024-08-02 15:45:00,2024-08-21 08:30:00,60.0,0.1,0.12,1.0,4.0,False,False,3.0,0.0,36.0,36.0
2024-07-01,2024-08-05 15:45:00,2024-08-21 08:30:00,60.0,0.1,1.26,1.0,4.0,True,False,2.0,115.99999999999999,252.0,368.0
2024-07-01,2024-08-06 15:45:00,2024-08-21 08:30:00,60.0,0.1,0.27,1.0,4.0,True,False,2.0,115.99999999999999,54.0,170.0
2024-07-01,2024-08-07 15:45:00,2024-08-21 08:30:00,60.0,0.1,0.38,1.0,4.0,True,False,2.0,115.99999999999999,76.0,192.0
2024-07-01,2024-08-08 15:45:00,2024-08-21 08:30:00,60.0,0.1,0.17,1.0,4.0,True,False,2.0,115.99999999999999,34.0,150.0
2024-07-01,2024-08-09 15:45:00,2024-08-21 08:30:00,60.0,0.1,0.07,1.0,4.0,True,False,2.0,115.99999999999999,14.000000000000002,130.0
2024-07-01,2024-08-12 15:45:00,2024-08-21 08:30:00,60.0,0.1,0.08,1.0,4.0,True,False,2.0,115.99999999999999,16.0,132.0
2024-07-01,2024-08-13 15:45:00,2024-08-21 08:30:00,60.0,0.1,0.05,1.0,4.0,True,False,2.0,115.99999999999999,10.0,125.99999999999999
